Model	RMSE_Glob	R2	RMSE_0.8_1	Bias_0.8_1
xgb_q_mid	0.10203314172736457	-0.07806213309110133	0.1243242379939726	Занижает (-0.07666)
xgb_m	0.09952893932612902	-0.025793693574150955	0.12025602030486329	Занижает (-0.07696)
cat_q_mid	0.10179086493021836	-0.0729485133338521	0.12284818816774427	Занижает (-0.07550)
cat_m	0.10077485259439817	-0.051636415521422174	0.12258756069154973	Занижает (-0.07734)
xgb_q_low	0.11532111298842553	-0.37714263388047375	0.1488633368978891	Занижает (-0.10704)
xgb_q_high	0.09234552187465482	0.11693442853817171	0.10274533565681383	Занижает (-0.05274)
Torch_MLP	0.09588914655315296	0.047861383188726125	0.12108387886902842	Занижает (-0.08074)
FINAL_STACKING	0.10284895886650773	-0.09537058063559156	0.12658962507403193	Занижает (-0.08026)
